Filename,Loss_Type,Subject,Object,Action,Mode,L2_Error_mm,Jerk,Contact_Pts,Penetration,Self_Collision_%
allegro_allloss_s1_airplane_fly_1_nn.npy,allloss,s1,airplane,fly_1,nn,11.39,0.002538,0.67,0.08,0.0
allegro_allloss_s1_alarmclock_lift_nn.npy,allloss,s1,alarmclock,lift,nn,12.2,0.003606,0.58,0.0,0.0
allegro_allloss_s1_apple_eat_1_nn.npy,allloss,s1,apple,eat_1,nn,7.87,0.003152,0.93,1.74,0.0
allegro_allloss_s1_banana_eat_1_nn.npy,allloss,s1,banana,eat_1,nn,8.65,0.003826,0.27,0.02,0.0
allegro_allloss_s1_binoculars_lift_nn.npy,allloss,s1,binoculars,lift,nn,8.2,0.00477,0.64,0.71,0.0
allegro_allloss_s1_bowl_drink_1_nn.npy,allloss,s1,bowl,drink_1,nn,8.54,0.002145,1.07,0.14,0.0
allegro_allloss_s1_camera_browse_1_nn.npy,allloss,s1,camera,browse_1,nn,9.27,0.005736,0.17,0.01,0.0
allegro_allloss_s1_cubelarge_inspect_1_nn.npy,allloss,s1,cubelarge,inspect_1,nn,13.62,0.002668,0.39,1.42,0.0
allegro_allloss_s1_cubemedium_inspect_1_nn.npy,allloss,s1,cubemedium,inspect_1,nn,9.59,0.004071,0.19,0.42,0.0
allegro_allloss_s1_cubesmall_inspect_1_nn.npy,allloss,s1,cubesmall,inspect_1,nn,14.65,0.002927,0.19,0.0,0.0
allegro_allloss_s1_cup_drink_1_nn.npy,allloss,s1,cup,drink_1,nn,9.47,0.003508,0.73,0.26,0.0
allegro_allloss_s1_cylinderlarge_inspect_1_nn.npy,allloss,s1,cylinderlarge,inspect_1,nn,7.21,0.004334,0.39,0.98,0.0
allegro_allloss_s1_cylindermedium_inspect_1_nn.npy,allloss,s1,cylindermedium,inspect_1,nn,10.99,0.005053,0.43,0.4,0.0
allegro_allloss_s1_cylindersmall_inspect_1_nn.npy,allloss,s1,cylindersmall,inspect_1,nn,6.69,0.003864,0.69,0.34,0.0
allegro_allloss_s1_doorknob_use_1_nn.npy,allloss,s1,doorknob,use_1,nn,7.11,0.003842,0.47,0.0,0.0
allegro_attloss_s1_airplane_fly_1_nn.npy,attloss,s1,airplane,fly_1,nn,18.62,0.015704,0.62,0.04,0.0
allegro_attloss_s1_alarmclock_lift_nn.npy,attloss,s1,alarmclock,lift,nn,27.81,0.013446,0.39,0.01,0.0
allegro_attloss_s1_apple_eat_1_nn.npy,attloss,s1,apple,eat_1,nn,33.96,0.017728,0.67,1.56,0.0
allegro_attloss_s1_banana_eat_1_nn.npy,attloss,s1,banana,eat_1,nn,54.35,0.033302,0.14,0.02,0.0
allegro_attloss_s1_binoculars_lift_nn.npy,attloss,s1,binoculars,lift,nn,20.26,0.01851,0.56,0.54,0.0
allegro_attloss_s1_bowl_drink_1_nn.npy,attloss,s1,bowl,drink_1,nn,67.1,0.011047,0.63,0.0,0.0
allegro_attloss_s1_camera_browse_1_nn.npy,attloss,s1,camera,browse_1,nn,10.17,0.011773,0.17,0.0,0.0
allegro_attloss_s1_cubelarge_inspect_1_nn.npy,attloss,s1,cubelarge,inspect_1,nn,23.82,0.01649,0.41,1.26,0.0
allegro_attloss_s1_cubemedium_inspect_1_nn.npy,attloss,s1,cubemedium,inspect_1,nn,10.0,0.005395,0.2,0.42,0.0
allegro_attloss_s1_cubesmall_inspect_1_nn.npy,attloss,s1,cubesmall,inspect_1,nn,15.22,0.00358,0.18,0.01,0.0
allegro_attloss_s1_cup_drink_1_nn.npy,attloss,s1,cup,drink_1,nn,27.55,0.014334,0.51,0.21,0.0
allegro_attloss_s1_cylinderlarge_inspect_1_nn.npy,attloss,s1,cylinderlarge,inspect_1,nn,31.76,0.017086,0.39,0.6,0.0
allegro_attloss_s1_cylindermedium_inspect_1_nn.npy,attloss,s1,cylindermedium,inspect_1,nn,11.34,0.014851,0.45,0.39,0.0
allegro_attloss_s1_cylindersmall_inspect_1_nn.npy,attloss,s1,cylindersmall,inspect_1,nn,6.72,0.005567,0.69,0.34,0.0
allegro_attloss_s1_doorknob_use_1_nn.npy,attloss,s1,doorknob,use_1,nn,6.99,0.003754,0.42,0.0,0.0
allegro_limitloss_s1_airplane_fly_1_nn.npy,limitloss,s1,airplane,fly_1,nn,11.39,0.002538,0.67,0.08,0.0
allegro_limitloss_s1_alarmclock_lift_nn.npy,limitloss,s1,alarmclock,lift,nn,12.2,0.003606,0.58,0.0,0.0
allegro_limitloss_s1_apple_eat_1_nn.npy,limitloss,s1,apple,eat_1,nn,7.87,0.003152,0.93,1.74,0.0
allegro_limitloss_s1_banana_eat_1_nn.npy,limitloss,s1,banana,eat_1,nn,8.65,0.003826,0.27,0.02,0.0
allegro_limitloss_s1_binoculars_lift_nn.npy,limitloss,s1,binoculars,lift,nn,8.2,0.00477,0.64,0.71,0.0
allegro_limitloss_s1_bowl_drink_1_nn.npy,limitloss,s1,bowl,drink_1,nn,8.54,0.002145,1.07,0.14,0.0
allegro_limitloss_s1_camera_browse_1_nn.npy,limitloss,s1,camera,browse_1,nn,9.27,0.005736,0.17,0.01,0.0
