Filename,Loss_Type,Subject,Object,Action,Mode,L2_Error_mm,Jerk,Contact_Pts,Penetration,Self_Collision_%
allegro_originalloss_s1_airplane_fly_1_drop.npy,originalloss,s1,airplane,fly_1,drop,10.6,0.001044,0.7,0.61,0.0
allegro_originalloss_s1_airplane_fly_1_simple.npy,originalloss,s1,airplane,fly_1,simple,8.59,0.001043,0.7,0.61,0.0
allegro_originalloss_s1_alarmclock_lift_drop.npy,originalloss,s1,alarmclock,lift,drop,11.95,0.002021,0.19,0.0,0.0
allegro_originalloss_s1_alarmclock_lift_simple.npy,originalloss,s1,alarmclock,lift,simple,11.68,0.001896,0.19,0.0,0.0
allegro_originalloss_s1_apple_eat_1_drop.npy,originalloss,s1,apple,eat_1,drop,9.69,0.002301,0.68,1.97,0.0
allegro_originalloss_s1_apple_eat_1_simple.npy,originalloss,s1,apple,eat_1,simple,10.54,0.002294,0.68,1.97,0.0
allegro_originalloss_s1_banana_eat_1_drop.npy,originalloss,s1,banana,eat_1,drop,7.63,0.002676,0.35,0.11,0.0
allegro_originalloss_s1_banana_eat_1_simple.npy,originalloss,s1,banana,eat_1,simple,7.09,0.002734,0.35,0.11,0.0
allegro_originalloss_s1_binoculars_lift_drop.npy,originalloss,s1,binoculars,lift,drop,10.53,0.003002,0.55,0.46,0.0
allegro_originalloss_s1_binoculars_lift_simple.npy,originalloss,s1,binoculars,lift,simple,9.69,0.003229,0.55,0.46,0.0
allegro_originalloss_s1_bowl_drink_1_drop.npy,originalloss,s1,bowl,drink_1,drop,7.66,0.000473,0.88,0.2,0.0
allegro_originalloss_s1_bowl_drink_1_simple.npy,originalloss,s1,bowl,drink_1,simple,8.28,0.000548,0.88,0.2,0.0
allegro_originalloss_s1_camera_browse_1_drop.npy,originalloss,s1,camera,browse_1,drop,10.52,0.003039,0.22,0.05,0.0
allegro_originalloss_s1_camera_browse_1_simple.npy,originalloss,s1,camera,browse_1,simple,9.15,0.003525,0.21,0.04,0.0
allegro_originalloss_s1_cubelarge_inspect_1_drop.npy,originalloss,s1,cubelarge,inspect_1,drop,14.35,0.001132,0.46,1.0,0.0
allegro_originalloss_s1_cubelarge_inspect_1_simple.npy,originalloss,s1,cubelarge,inspect_1,simple,14.57,0.001121,0.46,1.0,0.0
allegro_originalloss_s1_cubemedium_inspect_1_drop.npy,originalloss,s1,cubemedium,inspect_1,drop,11.74,0.001454,0.33,0.32,0.0
allegro_originalloss_s1_cubemedium_inspect_1_simple.npy,originalloss,s1,cubemedium,inspect_1,simple,10.89,0.001518,0.33,0.32,0.0
allegro_originalloss_s1_cubesmall_inspect_1_drop.npy,originalloss,s1,cubesmall,inspect_1,drop,13.01,0.00147,0.1,0.14,0.0
allegro_originalloss_s1_cubesmall_inspect_1_simple.npy,originalloss,s1,cubesmall,inspect_1,simple,13.34,0.00158,0.1,0.14,0.0
allegro_originalloss_s1_cup_drink_1_drop.npy,originalloss,s1,cup,drink_1,drop,11.32,0.001379,0.77,0.07,0.0
allegro_originalloss_s1_cup_drink_1_simple.npy,originalloss,s1,cup,drink_1,simple,10.92,0.001466,0.77,0.06,0.0
allegro_originalloss_s1_cylinderlarge_inspect_1_drop.npy,originalloss,s1,cylinderlarge,inspect_1,drop,12.98,0.001377,0.2,0.78,0.0
allegro_originalloss_s1_cylinderlarge_inspect_1_simple.npy,originalloss,s1,cylinderlarge,inspect_1,simple,11.33,0.00168,0.2,0.78,0.0
allegro_originalloss_s1_cylindermedium_inspect_1_drop.npy,originalloss,s1,cylindermedium,inspect_1,drop,10.03,0.003049,0.46,0.39,0.0
allegro_originalloss_s1_cylindermedium_inspect_1_simple.npy,originalloss,s1,cylindermedium,inspect_1,simple,9.78,0.00337,0.44,0.4,0.0
allegro_originalloss_s1_cylindersmall_inspect_1_drop.npy,originalloss,s1,cylindersmall,inspect_1,drop,9.32,0.002172,0.53,0.34,0.0
allegro_originalloss_s1_cylindersmall_inspect_1_simple.npy,originalloss,s1,cylindersmall,inspect_1,simple,7.1,0.002073,0.53,0.34,0.0
allegro_originalloss_s1_doorknob_use_1_drop.npy,originalloss,s1,doorknob,use_1,drop,9.42,0.002529,0.57,0.12,0.0
allegro_originalloss_s1_doorknob_use_1_simple.npy,originalloss,s1,doorknob,use_1,simple,9.09,0.002295,0.52,0.12,0.0
